manufacturer_name,model_name,production_start_date,production_end_date,recall_start_date,affected_count,recall_reason,vehicle_type
BMW,X5 3.0Si,2010-02-11,2010-02-23,2014-08-30,4,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",SUV
BMW,X5 35i,2011-06-29,2011-08-24,2014-08-30,11,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",SUV
BMW,X5 35i,2010-04-08,2011-09-10,2014-08-30,318,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",SUV
재규어랜드로버,Range Rover 3.0D,2012-03-09,2013-01-22,2014-09-11,40,냉각팬 컨트롤 모듈로 수분이 유입되어 화재 발생 가능,SUV
재규어랜드로버,Range Rover 4.4L,2012-03-09,2013-01-22,2014-09-11,26,냉각팬 컨트롤 모듈로 수분이 유입되어 화재 발생 가능,SUV
혼다코리아,CR-V,2011-12-19,2014-06-27,2014-09-22,23,운전석 인플에이터(팽창기)의 내부 칸막이 부품이 규격 외 부품으로 잘못 조립되어짐,SUV
토요타,시에나 2WD,2014-09-18,2014-09-30,2014-12-11,4,2열시트 헤드라이너의 좌측과 우측에 장착된 보조 손잡이가 커튼 쉴드 에어백이 작동시 마운틴 브라켓에서 분리될 가능성이 잇음,MPV/미니밴
토요타,시에나 2WD,2014-05-01,2014-07-11,2014-12-11,1,연료 공급 파이프의 제조 과정 중 연료 공급 파이프의 끝부분이 불충분하게 용접되었을 가능성이 있음,MPV/미니밴
토요타,시에나 4WD,2014-05-01,2014-07-11,2014-12-11,36,연료 공급 파이프의 제조 과정 중 연료 공급 파이프의 끝부분이 불충분하게 용접되었을 가능성이 있음,MPV/미니밴
KG 모빌리티,렉스턴(후륜),2008-01-09,2010-11-17,2014-12-26,3251,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,SUV
KG 모빌리티,렉스턴(전+후륜),2006-04-01,2008-01-08,2014-12-26,10860,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,SUV
KG 모빌리티,렉스턴(전륜),2006-04-01,2008-01-08,2014-12-26,5704,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,SUV
메르세데스 벤츠,GLA200 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,1,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,SUV
메르세데스 벤츠,GLA200 CDI,2014-02-28,2014-11-10,2014-12-29,515,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,SUV
메르세데스 벤츠,GLK220 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,910,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,SUV
재규어랜드로버,Range Rover,2012-08-12,2014-01-08,2015-04-02,109,진공 호스의 부정확한 설치로 인해 진공 호스가 엔진 보조 구동벨트 및 풀리와 접촉하여 마모 발생,SUV
재규어랜드로버,Range Rover Sport,2013-05-07,2014-01-08,2015-04-02,47,진공 호스의 부정확한 설치로 인해 진공 호스가 엔진 보조 구동벨트 및 풀리와 접촉하여 마모 발생,SUV
재규어랜드로버,Range Rover 4.4 디젤,2013-05-07,2013-10-10,2015-04-02,116,"전방 방향지시등 고장 시 설치기준 (UN ECE 48, FMVSS 108)에 만족하지 않음",SUV
재규어랜드로버,Range Rover 5.0 가솔린,2013-05-07,2013-10-10,2015-04-02,33,"전방 방향지시등 고장 시 설치기준 (UN ECE 48, FMVSS 108)에 만족하지 않음",SUV
재규어랜드로버,Range Rover 3.0 디젤,2013-05-07,2013-10-10,2015-04-02,26,"전방 방향지시등 고장 시 설치기준 (UN ECE 48, FMVSS 108)에 만족하지 않음",SUV
재규어랜드로버,Discovery4,2015-01-06,2015-01-23,2015-04-02,25,휠너트의 인장강도 설계 요구 조건에 부합되지 못하여 주행 중 크랙 발생,SUV
재규어랜드로버,Range Rover Sport,2015-01-06,2015-01-23,2015-04-02,36,휠너트의 인장강도 설계 요구 조건에 부합되지 못하여 주행 중 크랙 발생,SUV
재규어랜드로버,Range Rover,2015-01-06,2015-01-23,2015-04-02,10,휠너트의 인장강도 설계 요구 조건에 부합되지 못하여 주행 중 크랙 발생,SUV
메르세데스 벤츠,GLA200 CDI,2014-10-01,2015-02-12,2015-04-27,80,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,SUV
메르세데스 벤츠,GLK220 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,45,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,SUV
메르세데스 벤츠,GLA200 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,4,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,SUV
르노코리아,QM3,2013-09-11,2014-11-07,2015-05-04,20949,전방 휀더 프로텍터와 브레이크 호스간의 간섭으로 인해 브레이크 호스와 휀더 프로텍터와의 마찰에 따른 마모 발생 우려,SUV
재규어랜드로버,Range Rover,2005-03-14,2012-07-26,2015-07-17,1094,전륜 브레이크호스 균열 또는 파열로 인해 브레이크액이 누유되어 제동성능이 저하될 가능성,SUV
재규어랜드로버,Discovery4,2014-08-21,2015-02-12,2015-07-17,947,ABS(Anti-lock Brake System) 자기진단 기능＊이 정상적으로 작동되지 않아 ABS 고장시 운전자가 이를 인지할 수 없어 안전운행에 지장을 줄 가능성,SUV
혼다코리아,CR-V(RD6),2006-09-20,2006-07-07,2015-07-17,261,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE4),2006-05-24,2006-12-28,2015-07-17,1,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RD7),2003-03-14,2006-07-11,2015-07-17,2468,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
볼보,XC90,2008-09-22,2009-10-20,2015-07-27,90,"파워스티어링 호스가 고정이 잘 되지 않아, 엔진룸 내 쿨링팬과 직접적인 마찰이 발생하여 조향 능력이 떨어져 안전운행 저하",SUV
메르세데스 벤츠,GLA 200 CDI,2014-09-08,2014-11-07,2015-08-03,8,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성",SUV
혼다코리아,CR-V(RE4),2006-06-14,2008-12-08,2015-08-31,6698,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE4),2006-05-24,2007-08-20,2015-08-31,754,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE3),2006-06-19,2008-12-08,2015-08-31,765,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE3),2006-06-19,2007-08-20,2015-08-31,97,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE3),2007-01-08,2011-03-01,2015-08-31,1217,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CR-V(RE4),2007-01-15,2011-03-29,2015-08-31,9159,승용자동차의 경우 충돌로 인한 에어백(일본 타카타社 부품) 전개시 과도한 폭발압력으로 발생한 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성,SUV
혼다코리아,CTX700A,2013-12-07,2015-06-05,2015-09-01,51,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,SUV
재규어랜드로버,Discovery4,2012-08-13,2012-09-14,2015-10-08,76,선루프 유리를 감싸고 있는 고무 실링의 접착제 불량으로 누수 및 풍절음 등의 현상이 발생되어 안전운행에 지장을 줄 가능성,SUV
재규어랜드로버,Range Rover,2012-03-29,2015-05-23,2015-10-08,1330,차량 도어 컨트롤 제어 시스템의 소프트웨어 오류로 도어가 열린 상태임에도 닫힌 상태인 것처럼 인지되어 안전운행에 지장을 줄 가능성,SUV
재규어랜드로버,Range Rover Sport,2012-03-29,2015-05-23,2015-10-08,1433,차량 도어 컨트롤 제어 시스템의 소프트웨어 오류로 도어가 열린 상태임에도 닫힌 상태인 것처럼 인지되어 안전운행에 지장을 줄 가능성,SUV
현대자동차,그랜드스타렉스,2015-09-04,2015-09-09,2015-10-26,22,운전석 옆 좌석 에어백 내부 결함*으로 에어백 전개 시 비정상적으로 전개되어 안전운행에 지장을 줄 가능성,MPV/미니밴
볼보,XC90,2003-03-19,2005-02-01,2015-10-26,457,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성,SUV
토요타,RAV4 2WD,2009-09-01,2010-04-22,2015-12-17,209,운전석 파워 윈도우 스위치 내부에 윤활용 그리스 도포방법이 부적절하여 전기접촉점의 마모로 생긴 파편이 합선을 일으켜 과열로 인한 화재 발생 가능성,SUV
토요타,RAV4 4WD,2009-02-27,2010-04-28,2015-12-17,587,운전석 파워 윈도우 스위치 내부에 윤활용 그리스 도포방법이 부적절하여 전기접촉점의 마모로 생긴 파편이 합선을 일으켜 과열로 인한 화재 발생 가능성,SUV
메르세데스 벤츠,GLA200 CDI,2015-10-28,2015-11-19,2015-12-28,4,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성,SUV
메르세데스 벤츠,GLA200 CDI 4Matic,2015-10-28,2015-11-19,2015-12-28,7,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성,SUV
르노코리아,QM5 디젤,2013-08-09,2015-07-06,2015-12-30,10237,연료 파이프 굴곡부와 엔진 상부 커버의 간섭으로 마모가 발생하여 연료가 누유되고 화재가 발생할 가능성,SUV
현대자동차,구형 투싼(LM),2010-08-01,2010-10-31,2016-02-22,9251,자동변속기 오일쿨러(Oil Cooler) 호스 손상으로 자동변속기 오일이 누유됨으로써 변속기 작동불량 등이 발생,SUV
토요타,토요타 RAV4 2WD,2009-09-01,2012-11-08,2016-04-07,416,뒷좌석 쿠션부 금속 프레임의 형태가 부적절하여 충돌 시 프레임과 좌석안전띠의 간섭으로 좌석안전띠가 절단될 경우 승객을 보호하지 못할 가능성 발견,SUV
토요타,토요타 RAV4 4WD,2009-02-27,2012-11-14,2016-04-07,1242,뒷좌석 쿠션부 금속 프레임의 형태가 부적절하여 충돌 시 프레임과 좌석안전띠의 간섭으로 좌석안전띠가 절단될 경우 승객을 보호하지 못할 가능성 발견,SUV
메르세데스 벤츠,GLC 220 BLUETEC 4MATIC,2015-07-24,2015-07-24,2016-04-11,2,"조향장치 스위치 모듈 전기배선의 조립불량으로 전기배선이 손상될 경우 방향지시등 고장, 에어백 오작동 등 안전운행에 지장을 줄 가능성 발견",SUV
현대자동차,투싼,2015-03-15,2016-03-15,2016-06-30,62319,후드 2차 잠금장치의 제작결함으로 후드걸쇠장치가 열린 상태로 주행할 경우 2차 잠금장치가 제대로 작동되지 않아 주행 중 후드가 열려 안전운행에 지장을 줄 가능성 발견,SUV
메르세데스 벤츠,GLA 45 AMG 4MATIC,2015-10-26,2015-11-20,2016-07-08,3,자동변속기 내부 부품(더블클러치) 용접 불량으로 파손될 경우 주행시 엔진 동력이 정상적으로 바퀴에 전달되지 않아 안전운행에 지장을 줄 가능성,SUV
메르세데스 벤츠,ML 350 BLUETEC 4MATIC,2015-04-27,2015-05-19,2016-07-08,6,뒷좌석 우측 좌석안전띠 고정체의 볼트조립불량으로 충돌 시 승객을 보호하지 못할 가능성,SUV
혼다코리아,CR-V,2004-07-15,2011-03-29,2016-08-16,5641,"조수석 에어백( 타카타社) 전개시 인플레이터 내부 압력의 이상 상승으로 용기가 파손 될 수 있고, 내부 부품의 금속 파편이 운전자 등에게 상해를 입힐 가능성 있음(건조제 없는 인플레이터)",SUV
재규어랜드로버,F-PACE,2016-03-03,2016-06-15,2016-08-25,16,"시동 모터 케이블의 배선 결함으로 주변 부품과의 마찰로 인해 케이블이 마모될 경우 그 배선이 단락되어, 주행 중 엔진이 멈추거나 화재가 발생할 가능성",SUV
KG 모빌리티,티볼리(디젤),2015-07-01,2016-01-31,2016-09-12,14831,연료필터와 엔진 사이에 장착된 연료호스의 제작결함으로 누유가 발생할 경우 연료가 부족하여 주행중 시동이 꺼지거나 화재가 발생할 가능성,SUV
현대자동차,투싼(TL),2015-12-17,2016-05-31,2016-09-22,617,변속기 소프트웨어 오류로 차량 정차 후 재출발 시 가속이 지연되거나 가속이 안 될 가능성,SUV
BMW,X5 3.0i,2003-03-24,2003-08-26,2016-09-30,8,운전석 에어백(다카타社) 내부 부품 불량으로 에어백이 정상적으로 작동하지 않을 가능성,SUV
BMW,X5 4.4i,2003-03-07,2003-05-28,2016-09-30,2,운전석 에어백(다카타社) 내부 부품 불량으로 에어백이 정상적으로 작동하지 않을 가능성,SUV
볼보,XC90,2016-04-21,2016-09-06,2016-10-21,798,에어컨 배수 호스의 장착 불량으로 수분이 각종 전자 장치에 침투할 경우 안전운행에 지장을 줄 가능성,SUV
현대자동차,싼타페,2015-05-27,2015-06-05,2016-10-21,66,승객감지장치 제어 유닛 설정 오류로 충돌시 동승자석의 에어백이 미전개될 가능성,SUV
BMW,X5 M,2009-07-09,2010-02-16,2016-10-28,27,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
BMW,X5 xDrive35i,2010-04-07,2010-06-30,2016-10-28,86,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
BMW,X5 xDrive30d,2006-12-11,2010-08-10,2016-10-28,1713,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
BMW,X5 xDrive30i,2007-03-23,2010-02-23,2016-10-28,804,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
BMW,X5 xDrive48i,2007-03-20,2009-05-19,2016-10-28,121,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
BMW,X5 xDrive50i,2010-03-22,2010-04-14,2016-10-28,8,연료펌프 커넥터의 제작결함으로 커넥터 핀과 배선간의 접촉 불량이 발생하여 주행 중 시동이 꺼지고 화재가 발생할 가능성,SUV
현대자동차,그랜드스타렉스(TQ),2016-09-28,2016-09-30,2016-11-14,23,전조등 설치 불량으로 광축이 기준보다 좌측방향으로 설정되었을 경우 반대편 운전자의 눈부심을 증가시켜 안전운행에 지장을 줄 가능성,MPV/미니밴
기아,구형 스포티지(KM),2007-08-09,2007-08-09,2016-12-09,2686,자동차안정성제어장치(ESC) 중 유압 컨트롤 유닛(HCU)에 연결된 배선 커넥터의 덮개 체결 불량으로 제설제 염수 등이 HCU 내에 유입될 경우 합선이 일어나 화재가 발생할 가능성,SUV
BMW,X5 xDrive40d,2011-03-31,2013-04-25,2016-12-09,310,엔진 타이밍체인 텐셔너*의 기능이 원활하지 않아 주행 중 시동이 꺼질 가능성 * 텐셔너 : 엔진 타이밍 벨트(엔진 작동을 위한 흡·배기 밸브 구동 등)의 장력을 조절하는 장치,SUV
BMW,X5 M50d,2013-07-18,2013-10-15,2016-12-09,56,엔진 타이밍체인 텐셔너*의 기능이 원활하지 않아 주행 중 시동이 꺼질 가능성 * 텐셔너 : 엔진 타이밍 벨트(엔진 작동을 위한 흡·배기 밸브 구동 등)의 장력을 조절하는 장치,SUV
BMW,X5 xDrive30d,2010-03-22,2013-10-15,2016-12-09,1704,엔진 타이밍체인 텐셔너*의 기능이 원활하지 않아 주행 중 시동이 꺼질 가능성 * 텐셔너 : 엔진 타이밍 벨트(엔진 작동을 위한 흡·배기 밸브 구동 등)의 장력을 조절하는 장치,SUV
포드,Explorer,2014-01-17,2014-05-31,2016-12-30,489,리어 서스펜션 토우 링크*의 용접 불량으로 금이 갈 경우 조향 제어가 안 되어 사고가 발생할 가능성 * 리어 서스펜션 토우 링크(Rear Suspension Tow Link): 차체에 고정되어 뒷바퀴의 정렬 상태를 조정하는 역할,SUV
BMW,X5 xDrive30d,2010-04-05,2010-11-19,2016-12-30,260,전방 프로펠러 샤프트*의 제작결함으로 일부 부품(유니버설 조인트)이 부식되어 파손될 경우 동력 전달이 원활하지 않아 가속이 제대로 안되어 안전 운행에 지장을 줄 가능성 * 프로펠러 샤프트 : 변속기로부터 구동축에 동력을 전달하는 축,SUV
BMW,X5 xDrive35i,2010-04-07,2010-11-10,2016-12-30,175,전방 프로펠러 샤프트*의 제작결함으로 일부 부품(유니버설 조인트)이 부식되어 파손될 경우 동력 전달이 원활하지 않아 가속이 제대로 안되어 안전 운행에 지장을 줄 가능성 * 프로펠러 샤프트 : 변속기로부터 구동축에 동력을 전달하는 축,SUV
